time,power,model,type,mode,phase
1,6,WSM2420D3WW,CW,normal,1
2,5,WSM2420D3WW,CW,normal,1
3,383,WSM2420D3WW,CW,normal,1
4,518,WSM2420D3WW,CW,normal,1
5,514,WSM2420D3WW,CW,normal,1
6,513,WSM2420D3WW,CW,normal,1
7,510,WSM2420D3WW,CW,normal,1
8,509,WSM2420D3WW,CW,normal,1
9,510,WSM2420D3WW,CW,normal,1
10,513,WSM2420D3WW,CW,normal,1
11,513,WSM2420D3WW,CW,normal,1
12,511,WSM2420D3WW,CW,normal,1
13,501,WSM2420D3WW,CW,normal,1
14,446,WSM2420D3WW,CW,normal,1
15,439,WSM2420D3WW,CW,normal,1
16,443,WSM2420D3WW,CW,normal,1
17,528,WSM2420D3WW,CW,normal,1
18,550,WSM2420D3WW,CW,normal,1
19,128,WSM2420D3WW,CW,normal,1
20,4,WSM2420D3WW,CW,normal,2
21,448,WSM2420D3WW,CW,normal,2
22,647,WSM2420D3WW,CW,normal,2
23,567,WSM2420D3WW,CW,normal,2
24,513,WSM2420D3WW,CW,normal,2
25,470,WSM2420D3WW,CW,normal,2
26,439,WSM2420D3WW,CW,normal,2
27,430,WSM2420D3WW,CW,normal,2
28,433,WSM2420D3WW,CW,normal,2
29,504,WSM2420D3WW,CW,normal,2
30,516,WSM2420D3WW,CW,normal,2
31,519,WSM2420D3WW,CW,normal,2
32,516,WSM2420D3WW,CW,normal,2
33,518,WSM2420D3WW,CW,normal,2
34,521,WSM2420D3WW,CW,normal,2
35,157,WSM2420D3WW,CW,normal,2
1,4,WSM2420D3WW,CW,delicates,1
2,243,WSM2420D3WW,CW,delicates,1
3,510,WSM2420D3WW,CW,delicates,1
4,503,WSM2420D3WW,CW,delicates,1
5,501,WSM2420D3WW,CW,delicates,1
6,495,WSM2420D3WW,CW,delicates,1
7,497,WSM2420D3WW,CW,delicates,1
8,473,WSM2420D3WW,CW,delicates,1
9,467,WSM2420D3WW,CW,delicates,1
10,456,WSM2420D3WW,CW,delicates,1
11,457,WSM2420D3WW,CW,delicates,1
12,478,WSM2420D3WW,CW,delicates,1
